,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
83,2024-05-22,171.18158053598003,164.49565985452085,176.31393507204066,171.18158053598003,171.18158053598003,-0.5567098169719044,-0.5567098169719044,-0.5567098169719044,-0.5567098169719044,-0.5567098169719044,-0.5567098169719044,0.0,0.0,0.0,170.62487071900813
84,2024-05-23,171.44333749404896,164.97925106684946,177.0817311440476,171.44333749404896,171.44333749404896,-0.28192510269240806,-0.28192510269240806,-0.28192510269240806,-0.28192510269240806,-0.28192510269240806,-0.28192510269240806,0.0,0.0,0.0,171.16141239135655
85,2024-05-24,171.70509445211786,166.01830102864395,178.0055549170636,171.70509445211786,171.70509445211786,0.08475579026399793,0.08475579026399793,0.08475579026399793,0.08475579026399793,0.08475579026399793,0.08475579026399793,0.0,0.0,0.0,171.78985024238187
86,2024-05-27,172.49036532632462,166.81121271351853,178.706156851701,172.49036532632462,172.49036532632462,0.2335075159850121,0.2335075159850121,0.2335075159850121,0.2335075159850121,0.2335075159850121,0.2335075159850121,0.0,0.0,0.0,172.72387284230965
87,2024-05-28,172.75212228439352,166.1277412822722,178.34964253942005,172.75212228439352,172.75212228439352,-0.2107188652023239,-0.2107188652023239,-0.2107188652023239,-0.2107188652023239,-0.2107188652023239,-0.2107188652023239,0.0,0.0,0.0,172.5414034191912
88,2024-05-29,173.01387924290083,166.14572616499302,178.3562209207214,173.01387924290083,173.01387924290083,-0.5567098169673789,-0.5567098169673789,-0.5567098169673789,-0.5567098169673789,-0.5567098169673789,-0.5567098169673789,0.0,0.0,0.0,172.45716942593344
89,2024-05-30,173.27563620140816,166.6674641637326,178.90770173725468,173.27563620140816,173.27563620140816,-0.2819251026903297,-0.2819251026903297,-0.2819251026903297,-0.2819251026903297,-0.2819251026903297,-0.2819251026903297,0.0,0.0,0.0,172.99371109871782
90,2024-05-31,173.53739315991547,167.72601047556876,179.4938085943125,173.53739315991547,173.53739315991547,0.0847557902682517,0.0847557902682517,0.0847557902682517,0.0847557902682517,0.0847557902682517,0.0847557902682517,0.0,0.0,0.0,173.6221489501837
91,2024-06-03,174.3226640354374,168.37292886918175,179.94970523464576,174.3226640354374,174.3226640354374,0.2335075159889641,0.2335075159889641,0.2335075159889641,0.2335075159889641,0.2335075159889641,0.2335075159889641,0.0,0.0,0.0,174.5561715514264
92,2024-06-04,174.58442099394475,168.4242605952572,180.5645880833508,174.58442099394475,174.58442099394475,-0.21071886519467917,-0.21071886519467917,-0.21071886519467917,-0.21071886519467917,-0.21071886519467917,-0.21071886519467917,0.0,0.0,0.0,174.37370212875007
93,2024-06-05,174.84617795245208,168.73485214370686,180.41580811992958,174.84617795245208,174.84617795245208,-0.556709816976483,-0.556709816976483,-0.556709816976483,-0.556709816976483,-0.556709816976483,-0.556709816976483,0.0,0.0,0.0,174.2894681354756
94,2024-06-06,175.1079349109594,168.9382071360691,180.77528235594252,175.1079349109594,175.1079349109594,-0.2819251026882513,-0.2819251026882513,-0.2819251026882513,-0.2819251026882513,-0.2819251026882513,-0.2819251026882513,0.0,0.0,0.0,174.82600980827112
95,2024-06-07,175.36969186946672,169.3449053013718,181.7518650123115,175.36969186946672,175.36969186946672,0.0847557902624953,0.0847557902624953,0.0847557902624953,0.0847557902624953,0.0847557902624953,0.0847557902624953,0.0,0.0,0.0,175.45444765972923
96,2024-06-10,175.48425590402977,169.9900224877099,181.68207703105378,175.48425590402977,175.48425590402977,0.2335075159885419,0.2335075159885419,0.2335075159885419,0.2335075159885419,0.2335075159885419,0.2335075159885419,0.0,0.0,0.0,175.71776342001831
97,2024-06-11,175.52244391555078,169.7718922219102,181.31649628002629,175.52244391555078,175.52244391555078,-0.21071886519945354,-0.21071886519945354,-0.21071886519945354,-0.21071886519945354,-0.21071886519945354,-0.21071886519945354,0.0,0.0,0.0,175.31172505035133
98,2024-06-12,175.5606319270718,168.58908726433384,180.87068950108142,175.5606319270718,175.5606319270718,-0.5567098169747079,-0.5567098169747079,-0.5567098169747079,-0.5567098169747079,-0.5567098169747079,-0.5567098169747079,0.0,0.0,0.0,175.00392211009708
99,2024-06-13,175.5988199385928,169.66937233843382,181.0791153216723,175.5988199385928,175.5988199385928,-0.2819251026861729,-0.2819251026861729,-0.2819251026861729,-0.2819251026861729,-0.2819251026861729,-0.2819251026861729,0.0,0.0,0.0,175.31689483590665
100,2024-06-14,175.63700795011383,170.23364358284255,181.14411889058485,175.63700795011383,175.63700795011383,0.08475579026674915,0.08475579026674915,0.08475579026674915,0.08475579026674915,0.08475579026674915,0.08475579026674915,0.0,0.0,0.0,175.72176374038057
